src_player_id,ActivityMonth,Product,SubProduct,ActivePlayerDays,Bet_Amount,Win_Amount,Gross_Win,Net_Gross_Win
16585649,8/31/2020,SportsBook,Livebook,1,500,0,500,420
12845036,5/31/2019,SportsBook,Prematch,28,1229,1178,42,35
12720869,6/30/2021,eGaming,Non Table Games,1,73,46,27,23
18979743,2/28/2021,eGaming,Non Table Games,1,52,22,30,25
12580168,12/31/2020,eGaming,Non Table Games,1,74,55,19,16
15908466,11/30/2020,SportsBook,Livebook,3,459,283,176,148
17719414,1/31/2021,SportsBook,Livebook,21,947,695,253,212
16763464,8/31/2020,IVG,IVG,1,20,0,20,17
13939149,12/31/2019,eGaming,Non Table Games,2,1841,2118,-295,-248
13876790,7/31/2020,eGaming,Non Table Games,1,0,0,0,0
17686111,11/30/2020,SportsBook,Livebook,3,175,120,55,46
16277359,7/31/2020,eGaming,Table Games,2,34,9,25,21
17771765,5/31/2021,SportsBook,Prematch,6,191,0,191,160
13269808,3/31/2020,SportsBook,Livebook,2,63,0,63,53
13024592,8/31/2019,SportsBook,Prematch,7,25,0,25,21
17605880,10/31/2020,eGaming,Table Games,1,57,18,39,32
15013705,2/29/2020,eGaming,Table Games,1,17,8,9,8
19133197,3/31/2021,eGaming,Non Table Games,10,2564,2511,52,44
13304636,8/31/2020,SportsBook,Livebook,8,59,29,29,24
13741687,10/31/2020,SportsBook,Livebook,5,192,189,3,3
12845768,10/31/2020,SportsBook,Prematch,1,40,0,40,34
19956539,4/30/2021,SportsBook,Livebook,1,3123,2633,490,412
13241831,4/30/2021,SportsBook,Prematch,5,365,331,-14,-12
19288414,6/30/2021,eGaming,Non Table Games,20,5375,5121,254,213
17856321,4/30/2021,SportsBook,Livebook,3,60,0,60,50
14559046,1/31/2020,SportsBook,Prematch,10,1495,1552,-57,-48
12534847,2/28/2019,SportsBook,Prematch,16,211,29,174,146
16341364,4/30/2021,Lottery,Lucky Six,1,12,3,9,8
17986095,12/31/2020,SportsBook,Livebook,2,9,0,9,8
12451979,1/31/2021,SportsBook,Livebook,4,104,85,19,16
12819816,2/29/2020,SportsBook,Prematch,2,40,0,40,34
14468646,8/31/2020,SportsBook,Livebook,12,230,0,230,193
13956084,11/30/2020,SportsBook,Livebook,3,27,0,27,22
13597266,2/29/2020,SportsBook,Prematch,1,221,0,221,186
13342982,8/31/2019,SportsBook,Prematch,1,500,0,500,420
17469670,3/31/2021,eGaming,Non Table Games,24,34814,33000,1814,1524
13026863,6/30/2020,eGaming,Non Table Games,3,848,593,251,211
18641061,4/30/2021,eGaming,Non Table Games,8,38,25,14,11
12865134,9/30/2019,SportsBook,Prematch,5,150,0,150,126
13812022,11/30/2019,eGaming,Non Table Games,2,93,45,48,41
12790097,4/30/2019,SportsBook,Prematch,8,29,0,29,24
19762679,5/31/2021,eGaming,Non Table Games,30,0,0,0,0
17308307,10/31/2020,eGaming,Non Table Games,21,49580,50340,-1148,-964
13752656,5/31/2021,eGaming,Non Table Games,1,32,3,29,25
13347830,12/31/2019,eGaming,Table Games,3,35,42,-7,-6
13290350,3/31/2021,eGaming,Non Table Games,23,8517,8374,143,120
13626918,2/29/2020,SportsBook,Livebook,5,18,0,18,15
13074975,6/30/2020,SportsBook,Prematch,30,0,0,0,0
13856609,4/30/2021,SportsBook,Livebook,1,15,0,15,13
14741470,2/29/2020,eGaming,Non Table Games,3,507,649,-142,-119
12848128,10/31/2020,SportsBook,Livebook,2,40,0,40,34
19884999,5/31/2021,SportsBook,Prematch,21,233,40,193,162
13150548,2/29/2020,SportsBook,Livebook,6,374,500,-126,-106
13080736,8/31/2019,SportsBook,Livebook,2,108,143,-35,-30
15119248,3/31/2021,SportsBook,Prematch,12,74,32,42,35
18974871,3/31/2021,eGaming,Non Table Games,2,32,14,18,15
12849704,5/31/2019,SportsBook,Prematch,1,60,0,60,50
17307161,11/30/2020,SportsBook,Livebook,10,91,49,42,36
16090494,6/30/2020,SportsBook,Prematch,15,159,41,104,87
13105608,12/31/2019,SportsBook,Prematch,6,3192,940,2252,1892
15086149,3/31/2020,eGaming,Non Table Games,1,11,9,2,2
15189878,5/31/2021,SportsBook,Prematch,5,15,0,15,13
14582626,12/31/2020,eGaming,Table Games,1,186,136,50,42
13682285,11/30/2019,IVG,IVG,1,2,0,2,2
12367630,5/31/2021,eGaming,Non Table Games,14,9727,8413,1314,1104
19825563,6/30/2021,Lotto,Lotto,28,4011,1440,2571,2160
18201982,4/30/2021,SportsBook,Prematch,4,152,0,152,128
16511699,7/31/2020,eGaming,Non Table Games,1,179,99,80,67
13105720,8/31/2019,SportsBook,Prematch,3,171,0,171,144
18487526,2/28/2021,SportsBook,Livebook,4,6,0,6,5
12420975,1/31/2021,eGaming,Non Table Games,9,0,0,0,0
20277837,5/31/2021,SportsBook,Livebook,1,11,0,11,9
13293103,7/31/2019,SportsBook,Prematch,5,6,0,4,3
14559614,12/31/2019,SportsBook,Livebook,1,1,0,1,1
18454846,1/31/2021,SportsBook,Prematch,23,2059,1507,543,456
14655396,1/31/2020,eGaming,Table Games,2,55,35,20,17
13159728,6/30/2019,eGaming,Non Table Games,1,0,0,0,0
13053569,5/31/2021,eGaming,Non Table Games,2,26,6,20,17
18828169,3/31/2021,eGaming,Non Table Games,2,132,82,50,42
13447518,4/30/2020,eGaming,Table Games,1,54,54,0,0
13090579,12/31/2019,SportsBook,Prematch,6,120,0,120,101
16646739,8/31/2020,eGaming,Non Table Games,2,761,551,210,176
13241831,3/31/2020,SportsBook,Prematch,3,64,0,64,54
12530306,4/30/2019,eGaming,Non Table Games,3,9,5,3,3
14989628,3/31/2020,SportsBook,Livebook,2,76,65,11,9
13746908,12/31/2020,SportsBook,Prematch,1,26,0,26,22
12355515,8/31/2020,SportsBook,Livebook,25,486,339,143,120
12535264,1/31/2021,eGaming,Non Table Games,1,54,35,20,16
14774022,3/31/2020,eGaming,Non Table Games,5,971,895,77,64
19780170,4/30/2021,SportsBook,Prematch,2,12,0,12,10
12426412,5/31/2019,eGaming,Table Games,1,0,0,0,0
18341719,4/30/2021,SportsBook,Prematch,30,118,304,-186,-156
14469840,2/28/2021,SportsBook,Prematch,6,226,0,226,190
12481341,3/31/2021,eGaming,Non Table Games,4,0,0,0,0
13814913,11/30/2019,SportsBook,Livebook,2,20,0,20,17
18794882,5/31/2021,Lottery,Lucky Six,4,116,129,-13,-11
14930606,3/31/2020,SportsBook,Prematch,4,100,0,100,84
14908441,2/29/2020,eGaming,Table Games,1,87,110,-23,-19
18392325,2/28/2021,Lottery,Lucky Six,17,1260,1053,207,174
12777726,4/30/2021,SportsBook,Prematch,2,256,816,-610,-512
17943381,1/31/2021,SportsBook,Prematch,11,852,548,304,256
18527297,1/31/2021,SportsBook,Prematch,22,266,76,190,160
13815539,11/30/2020,eGaming,Non Table Games,13,105065,110661,-5596,-4701
15012320,6/30/2021,eGaming,Non Table Games,8,14519,12194,2326,1953
16275130,12/31/2020,Lotto,Lotto,3,15,0,15,13
14474763,10/31/2020,Lotto,Lotto,3,2,0,2,2
14403963,12/31/2019,SportsBook,Prematch,19,355,340,15,13
13192360,8/31/2019,eGaming,Table Games,3,45,52,-7,-6
13221324,7/31/2019,eGaming,Non Table Games,1,14,1,12,10
15367924,1/31/2021,eGaming,Non Table Games,2,2582,2149,433,363
14827314,10/31/2020,eGaming,Non Table Games,13,18570,18169,399,335
12421518,6/30/2021,eGaming,Non Table Games,1,24,12,12,10
19745722,5/31/2021,eGaming,Non Table Games,5,2544,2481,62,52
13335627,11/30/2019,IVG,IVG,4,331,155,176,148
19014638,2/28/2021,eGaming,Non Table Games,1,184,134,50,42
14682697,1/31/2021,eGaming,Non Table Games,8,1830,1499,331,278
13917810,11/30/2019,eGaming,Non Table Games,1,110,12,96,80
20557754,6/30/2021,SportsBook,Livebook,6,11338,7157,4181,3512
13104309,6/30/2021,SportsBook,Prematch,6,25,0,25,21
13004336,6/30/2019,eGaming,Non Table Games,1,60,35,24,21
15208536,3/31/2020,eGaming,Non Table Games,1,6204,6194,4,3
14661729,4/30/2021,SportsBook,Prematch,7,425,882,-457,-384
16301154,12/31/2020,SportsBook,Livebook,4,872,2294,-1422,-1194
18647913,1/31/2021,Lottery,Lucky Six,1,9,0,9,8
14959282,11/30/2020,eGaming,Non Table Games,1,35,15,20,16
17989139,11/30/2020,Lotto,Lotto,6,763,527,236,198
13109780,6/30/2019,SportsBook,Prematch,7,85,25,60,50
12548869,2/28/2019,eGaming,Non Table Games,2,45,22,23,19
13046509,10/31/2020,eGaming,Non Table Games,2,798,601,197,165
20689789,6/30/2021,eGaming,Non Table Games,1,1369,1270,99,83
13656739,11/30/2019,SportsBook,Prematch,4,27,14,17,15
15189249,4/30/2020,eGaming,Table Games,2,238,295,-57,-48
15092581,12/31/2020,eGaming,Table Games,1,34,16,17,15
16099304,6/30/2020,SportsBook,Livebook,1,9635,11245,-1610,-1353
17575829,11/30/2020,SportsBook,Prematch,17,1962,1965,-3,-3
12683561,3/31/2019,SportsBook,Prematch,6,1011,2556,-1745,-1466
12626388,3/31/2021,SportsBook,Prematch,2,49,0,49,41
16308532,12/31/2020,eGaming,Non Table Games,2,70,30,40,34
16632433,5/31/2021,eGaming,Non Table Games,3,110,51,59,49
14983679,2/29/2020,eGaming,Non Table Games,4,390,211,178,149
12640843,9/30/2019,IVG,IVG,8,1290,820,469,394
13364467,5/31/2021,SportsBook,Prematch,7,837,0,837,703
13894014,5/31/2020,eGaming,Non Table Games,1,54,25,29,24
12639523,7/31/2020,SportsBook,Livebook,25,922,117,805,676
15237306,9/30/2020,SportsBook,Prematch,2,4,7,-3,-2
17651527,3/31/2021,SportsBook,Prematch,3,2,0,2,2
12662433,4/30/2021,SportsBook,Prematch,2,43,0,43,37
12361914,3/31/2021,Lotto,Lotto,2,1,0,1,1
17883315,12/31/2020,SportsBook,Livebook,11,59,38,22,18
14824465,1/31/2020,eGaming,Non Table Games,3,1265,1295,-38,-32
14708593,3/31/2020,eGaming,Non Table Games,3,156,136,18,15
12853835,5/31/2021,SportsBook,Livebook,2,68,19,49,41
19185120,5/31/2021,SportsBook,Livebook,1,10,0,10,8
17708497,11/30/2020,SportsBook,Livebook,1,24,0,24,20
13513875,1/31/2020,eGaming,Table Games,4,3030,2375,655,550
14875670,6/30/2020,SportsBook,Livebook,2,340,393,-53,-44
14795920,5/31/2021,SportsBook,Prematch,4,1853,789,1064,894
15035700,1/31/2021,eGaming,Non Table Games,2,0,0,0,0
12639009,5/31/2019,SportsBook,Prematch,4,79,40,39,33
16257205,9/30/2020,SportsBook,Livebook,1,100,126,-26,-22
12579285,7/31/2019,SportsBook,Livebook,16,2069,1250,819,688
13064324,2/29/2020,eGaming,Non Table Games,13,1932,2042,-112,-94
13761264,6/30/2021,SportsBook,Livebook,4,33,16,17,14
14923224,3/31/2021,SportsBook,Prematch,5,154,84,71,59
16332130,3/31/2021,Lotto,Lotto,4,6,0,6,5
13070112,5/31/2019,SportsBook,Prematch,6,314,0,214,180
20615142,6/30/2021,eGaming,Non Table Games,3,9538,10486,-949,-797
13699265,10/31/2020,SportsBook,Prematch,4,75,74,1,1
14709270,1/31/2020,SportsBook,Livebook,1,10,0,10,8
